API Name,UI Name,Description,
operatingSystem,Operating system,The operating systems used by visitors to your website or app. Includes desktop and mobile operating systems such as Windows and Android.,
operatingSystemVersion,OS version,"The operating system versions used by visitors to your website or app. For example, Android 10's version is 10.0; iOS 13.5.1's version is 13.5.1.",
operatingSystemWithVersion,Operating system with version,"The operating system and version. For example, Windows 7.",
orderCoupon,Order coupon,Code for the order-level coupon.,
outbound,Outbound,Returns true if the link led to a site that is not within the property's domain. Automatically populated if Enhanced Measurement is enabled. Populated by the event parameter outbound.,
pageLocation,Page location,"The protocol, hostname, page path, and query string of the pages visited; for example, the pageLocation for https://www.example.com/store/contact-us?query_string=true is https://www.example.com/store/contact-us?query_string=true. This is populated by the event parameter page_location.",
pagePath,Page path,"The portion of the URL between the hostname and the query string for web pages visited; for example, the pagePath portion of https://www.example.com/store/contact-us?query_string=true is /store/contact-us.",
pagePathPlusQueryString,Page path + query string,"The portion of the URL following the hostname of the web pages visited; for example, the pagePathPlusQueryString portion of https://www.example.com/store/contact-us?query_string=true is /store/contact-us?query_string=true.",
pageReferrer,Page referrer,The full referring URL including the hostname. The referring URL is the user's previous URL and can be from the website's domain or other domains. Populated by the event parameter page_referrer.,
pageTitle,Page title,The web page titles used on your site.,
percentScrolled,Percent scrolled,"The percentage down the page that the user has scrolled. For example, 90). Automatically populated if Enhanced Measurement is enabled. Populated by the event parameter percent_scrolled.",
platform,Platform,"The platform on which your app or website runs. For example, web, iOS, or Android. To determine a stream's platform, use both platform and streamId.",
platformDeviceCategory,Platform / device category,The platform and type of device on which your mobile app ran. (example: Android / mobile),
primaryChannelGroup,Primary channel group,"The primary channel group attributed to the key event. Primary channel groups are the channel groups used in the Channel Grouping reports in Google Analytics and serve as an accurate representation of your property's data in alignment with channel behavior over time. To learn more, see Custom channel groups (https://support.google.com/analytics/answer/13051316).",
region,Region,"The geographic region from which the user accessed your site, derived from their IP address.",
sa360AdGroupId,SA360 ad group ID,The SA360 Ad Group ID that led to the key event. Identifies the SA360 ad group.,
sa360AdGroupName,SA360 ad group name,The SA360 Ad Group Name that led to the key event. Ad groups contain ads and keywords that relate to a common theme.,
sa360CampaignId,SA360 campaign ID,The SA360 Campaign ID that led to the key event. Identifies the SA360 campaign.,
sa360CampaignName,SA360 campaign,The SA360 Campaign Name that led to the key event. A SA360 campaign lets you organize your ads and define the goals for your advertising.,
sa360CreativeFormat,SA360 creative format,The SA360 Creative Format that led to the key event. The creative format is the specific layout or design of the advertisement used in a campaign.,
sa360EngineAccountId,SA360 engine account ID,The SA360 Engine Account ID that led to the key event. Identifies the SA360 engine account.,
sa360EngineAccountName,SA360 engine account name,"The SA360 Engine Account Name that led to the key event. A SA360 engine account contains campaigns, ad groups, and other items from an advertising account. To learn more, see SA360 engine account (https://support.google.com/searchads/answer/4488036).",
sa360EngineAccountType,SA360 engine account type,"The SA360 Engine Account Type that led to the key event. Identifies the type of engine used by the search engine account, for example, google ads, bing, or baidu.",
sa360KeywordText,SA360 keyword text,The SA360 Keyword Text that led to the key event. Identifies the keywords that matched the search query.,
sa360ManagerAccountId,SA360 manager account ID,The SA360 Manager Account ID that led to the key event. Identifies the SA360 manager account.,
sa360ManagerAccountName,SA360 manager account name,"The SA360 Manager Account Name that led to the key event. The top level of the Search Ads 360 account hierarchy, used for administration and reporting across the manager's sub-manager and client accounts.",
sa360Medium,SA360 medium,"The SA360 Medium that led to the key event. The medium identifies the mode used in ad buying. For example, cpc.",
sa360Query,SA360 query,The SA360 Query that led to the key event. The search query typed by the user.,
sa360Source,SA360 source,The SA360 Source that led to the key event. The source identifies the website where the ad was displayed.,
sa360SourceMedium,SA360 source / medium,The SA360 Source Medium that led to the key event. The combination of the source and medium.,
screenResolution,Screen resolution,"The screen resolution of the user's monitor. For example, 1920x1080.",
searchTerm,Search term,"The term searched by the user. For example, if the URL is some-page.html?q=some-term, this dimension will return some-term. Automatically populated if Enhanced Measurement is enabled. Populated by the event parameter search_term.",
sessionCampaignId,Session campaign ID,"The marketing campaign ID for a session. Includes Google Ads Campaigns, Manual Campaigns, & other Campaign IDs.",
sessionCampaignName,Session campaign,"The marketing campaign name for a session. Includes Google Ads Campaigns, Manual Campaigns, & other Campaign Names.",
sessionCm360AccountId,Session CM360 account ID,The CM360 Account ID that led to the session. Identifies the CM360 account.,
sessionCm360AccountName,Session CM360 account name,"The CM360 Account Name that led to the session. A CM360 account consists of advertisers, sites, campaigns, and creative pro les.",
sessionCm360AdvertiserId,Session CM360 advertiser ID,The CM360 Advertiser ID that led to the session. Identifies the CM360 advertiser.,
sessionCm360AdvertiserName,Session CM360 advertiser name,"The CM360 Advertiser Name that led to the session. An advertiser contains a group of campaigns, creatives, and other settings.",
sessionCm360CampaignId,Session CM360 campaign ID,The CM360 Campaign ID that led to the session. Identifies the CM360 campaign.,
sessionCm360CampaignName,Session CM360 campaign name,"The CM360 Campaign Name that led to the session. A campaign can be configured to specify when your ads run, what landing pages are used, and other properties.",
sessionCm360CreativeFormat,Session CM360 creative format,"The CM360 Creative Format that led to the session. Creative formats are also referred to as creative types. For example, display, video, or native.",
sessionCm360CreativeId,Session CM360 creative ID,The CM360 Creative ID that led to the session. Identifies the CM360 creative.,
sessionCm360CreativeName,Session CM360 creative name,The CM360 Creative Name that led to the session. The name given to a CM360 creative.,
sessionCm360CreativeType,Session CM360 creative type,The CM360 Creative Type that led to the session. Identifies the type of CM360 creatives like 'Display' or 'Tracking'. See manage creatives (https://support.google.com/campaignmanager/answer/3020788) to learn more.,
sessionCm360CreativeTypeId,Session CM360 creative type ID,The CM360 Creative Type ID that led to the session. Identifies a CM360 creative type.,
sessionCm360CreativeVersion,Session CM360 creative version,"The CM360 Creative Version that led to the session. The version number helps you keep track of multiple uploads of your creative in your reports. If you upload a new version of an existing creative, the version number is increased.",
sessionCm360Medium,Session CM360 medium,The CM360 Medium that led to the session. The medium is also referred to as the placement cost structure.,
sessionCm360PlacementCostStructure,Session CM360 placement cost structure,The CM360 Placement Cost Structure that led to the session. Placement cost structures regulate how media costs are calculated. For example 'CPM'.,
sessionCm360PlacementId,Session CM360 placement ID,The CM360 Placement ID that led to the session. Identifies the CM360 placement. A placement is the part of a web page where your ad appears.,
sessionCm360PlacementName,Session CM360 placement name,The CM360 Placement Name that led to the session. The name given to a CM360 placement. A placement is a specific location on a website where your ad appears.,
sessionCm360RenderingId,Session CM360 rendering ID,The CM360 Rendering ID that led to the session. Identifies the CM360 creative.,
sessionCm360SiteId,Session CM360 site ID,The CM360 Site ID that led to the session. Identifies the CM360 site.,
sessionCm360SiteName,Session CM360 site name,The CM360 Site Name that led to the session. The site name from which the ad space was purchased.,
sessionCm360Source,Session CM360 source,The CM360 Source that led to the session. The source is also referred to as the site name.,
sessionCm360SourceMedium,Session CM360 source / medium,The CM360 Source Medium that led to the session. The combination of the source and medium.,
sessionDefaultChannelGroup,Session default channel group,"The session's default channel group is based on the source and medium. An enumeration which includes values like Organic Search, Paid Social, Organic Email, Affiliates, Referral, Paid Search, Display.",
sessionDv360AdvertiserId,Session DV360 advertiser ID,The DV360 Advertiser ID that led to the session. Identifies the DV360 advertiser.,
sessionDv360AdvertiserName,Session DV360 advertiser name,The DV360 Advertiser Name that led to the session. DV360 advertisers represent real-life businesses that run advertising campaigns.,
sessionDv360CampaignId,Session DV360 campaign ID,The DV360 Campaign ID that led to the session. Identifies the DV360 campaign.,
sessionDv360CampaignName,Session DV360 campaign name,The DV360 Campaign Name that led to the session. DV360 campaigns group together related insertion orders or activities that share a common business goal.,
sessionDv360CreativeFormat,Session DV360 creative format,"The DV360 Creative Format that led to the session. This is also referred to as the creative type. For example, display, video, or native.",
sessionDv360CreativeId,Session DV360 creative ID,The DV360 Creative ID that led to the session. Identifies the DV360 creative.,
sessionDv360CreativeName,Session DV360 creative name,The DV360 Creative Name that led to the session. The name given to a DV360 creative.,
sessionDv360ExchangeId,Session DV360 exchange ID,The DV360 Exchange ID that led to the session. Identifies the DV360 exchange.,
sessionDv360ExchangeName,Session DV360 exchange name,"The DV360 Exchange Name that led to the session. The DV360 ad exchange involved in the ad click. To learn more, see managing exchanges (https://support.google.com/displayvideo/answer/9359587).",
sessionDv360InsertionOrderId,Session DV360 insertion order ID,The DV360 Insertion Order ID that led to the session. Identifies the DV360 insertion order.,
sessionDv360InsertionOrderName,Session DV360 insertion order name,The DV360 Insertion Order Name that led to the session. A DV360 insertion order contains a set of line items related to the same advertising campaign.,
sessionDv360LineItemId,Session DV360 line item ID,The DV360 Line Item ID that led to the session. Identifies the DV360 line item.,
sessionDv360LineItemName,Session DV360 line item name,The DV360 Line Item Name that led to the session. A DV360 line item bids on impressions and serves creatives across inventory sources.,
sessionDv360Medium,Session DV360 medium,"The DV360 Medium that led to the session. The medium identifies the outcome of the insertion order. For example, cpm.",
sessionDv360PartnerId,Session DV360 partner ID,The DV360 Partner ID that led to the session. Identifies the DV360 partner.,
sessionDv360PartnerName,Session DV360 partner name,"The DV360 Partner Name that led to the session. DV360 partners represent agencies, trading desks, or advertisers.",
sessionDv360Source,Session DV360 source,The DV360 Source that led to the session. The source identifies the website where your ad was displayed.,
sessionDv360SourceMedium,Session DV360 source / medium,The DV360 Source Medium that led to the session. The combination of the source and medium.,
sessionGoogleAdsAccountName,Session Google Ads account name,The Account name from Google Ads that led to the session. Corresponds to customer.descriptive_name in the Google Ads API.,
sessionGoogleAdsAdGroupId,Session Google Ads ad group ID,The Ad Group Id in Google Ads for a session.,
sessionGoogleAdsAdGroupName,Session Google Ads ad group name,The Ad Group Name in Google Ads for a session.,
sessionGoogleAdsAdNetworkType,Session Google Ads ad network type,"The advertising network that led to the session. An enumeration which includes values like Google Search Partners, Google Display Network, YouTube Videos, Cross-network, Social (universal campaign).",
sessionGoogleAdsCampaignId,Session Google Ads campaign ID,The Campaign ID for the Google Ads Campaign attributed to this session.,
sessionGoogleAdsCampaignName,Session Google Ads campaign,The Campaign name for the Google Ads Campaign attributed to this session.,
sessionGoogleAdsCampaignType,Session Google Ads campaign type,"The campaign type for the Google Ads campaign attributed to this session. Campaign types determine where your ads show and the settings and options available in Google Ads. Campaign type is an enumeration with values like Search, Display, Shopping, Video, Demand Gen, Hotel, Local, and Performance Max.",
sessionGoogleAdsCreativeId,Session Google Ads creative ID,The ID of the Google Ads creative that led to a user visiting a website or app. Creative IDs identify individual ads.,
sessionGoogleAdsCustomerId,Session Google Ads customer ID,The Customer ID from Google Ads that led to the session. Customer IDs in Google Ads uniquely identify Google Ads accounts.,
sessionGoogleAdsKeyword,Session Google Ads keyword,The matched keyword that led to the session. Keywords are words or phrases describing your product or service that you choose to get your ad in front of the right customers.,
sessionGoogleAdsQuery,Session Google Ads query,The search query that led to the session.,
sessionManualAdContent,Session manual ad content,The ad content that led to a session. Populated by the utm_content parameter.,
sessionManualCampaignId,Session manual campaign ID,The manual Campaign ID that led to the session. Identifies the manual campaign. Populated by utm_id URL parameter.,
sessionManualCampaignName,Session manual campaign name,"The manual Campaign Name that led to the session. Identifies the name of the manual campaign. Populated by utm_campaign URL parameter. To learn more, see Collect campaign data with custom URLs (https://support.google.com/analytics/answer/1094897).",
sessionManualCreativeFormat,Session manual creative format,The manual Creative Format that led to the session. Identifies the creative format used in the ad. Populated by utm_creative_format URL parameter.,
sessionManualMarketingTactic,Session manual marketing tactic,"The manual Marketing Tactic that led to the session. Identifies the targeting criteria applied to a campaign. For example, remarketing or prospecting. Populated by utm_marketing_tactic URL parameter.",
sessionManualMedium,Session manual medium,"The manual Medium that led to the session. The medium identifies the medium used in the referral. For example, cpc or banner. Populated by utm_medium URL parameter.",
sessionManualSource,Session manual source,The manual Source that led to the session. The source identifies the referrer. Populated by utm_source URL parameter.,
sessionManualSourceMedium,Session manual source / medium,The manual Source Medium that led to the session. The combination of the source and medium.,
sessionManualSourcePlatform,Session manual source platform,The manual Source Platform that led to the session. Identifies the platform responsible for directing traffic to a Google property. Populated by utm_source_platform URL parameter.,
sessionManualTerm,Session manual term,The term that led to a session. Populated by the utm_term parameter.,
sessionMedium,Session medium,The medium that initiated a session on your website or app.,
sessionPrimaryChannelGroup,Session primary channel group,"The primary channel group that led to the session. Primary channel groups are the channel groups used in the Channel Grouping reports in Google Analytics and serve as an accurate representation of your property's data in alignment with channel behavior over time. To learn more, see Custom channel groups (https://support.google.com/analytics/answer/13051316).",
sessionSa360AdGroupId,Session SA360 ad group ID,The SA360 Ad Group ID that led to the session. Identifies the SA360 ad group.,
sessionSa360AdGroupName,Session SA360 ad group name,The SA360 Ad Group Name that led to the session. Ad groups contain ads and keywords that relate to a common theme.,
sessionSa360CampaignId,Session SA360 campaign ID,The SA360 Campaign ID that led to the session. Identifies the SA360 campaign.,
sessionSa360CampaignName,Session SA360 campaign,The SA360 Campaign Name that led to the session. A SA360 campaign lets you organize your ads and define the goals for your advertising.,
sessionSa360CreativeFormat,Session SA360 creative format,The SA360 Creative Format that led to the session. The creative format is the specific layout or design of the advertisement used in a campaign.,
sessionSa360EngineAccountId,Session SA360 engine account ID,The SA360 Engine Account ID that led to the session. Identifies the SA360 engine account.,
sessionSa360EngineAccountName,Session SA360 engine account name,"The SA360 Engine Account Name that led to the session. A SA360 engine account contains campaigns, ad groups, and other items from an advertising account. To learn more, see SA360 engine account (https://support.google.com/searchads/answer/4488036).",
sessionSa360EngineAccountType,Session SA360 engine account type,"The SA360 Engine Account Type that led to the session. Identifies the type of engine used by the search engine account, for example, google ads, bing, or baidu.",
sessionSa360Keyword,Session SA360 keyword text,The SA360 Keyword Text that led to the session. Identifies the keywords that matched the search query.,
sessionSa360ManagerAccountId,Session SA360 manager account ID,The SA360 Manager Account ID that led to the session. Identifies the SA360 manager account.,
sessionSa360ManagerAccountName,Session SA360 manager account name,"The SA360 Manager Account Name that led to the session. The top level of the Search Ads 360 account hierarchy, used for administration and reporting across the manager's sub-manager and client accounts.",
sessionSa360Medium,Session SA360 medium,"The SA360 Medium that led to the session. The medium identifies the mode used in ad buying. For example, cpc.",
sessionSa360Query,Session SA360 query,The SA360 Query that led to the session. The search query typed by the user.,
sessionSa360Source,Session SA360 source,The SA360 Source that led to the session. The source identifies the website where the ad was displayed.,
sessionSa360SourceMedium,Session SA360 source / medium,The SA360 Source Medium that led to the session. The combination of the source and medium.,
sessionSource,Session source,The source that initiated a session on your website or app.,
sessionSourceMedium,Session source / medium,The combined values of the dimensions sessionSource and sessionMedium.,
sessionSourcePlatform,Session source platform,The source platform of the session's campaign. You can rely on this field returning Manual for traffic that utilizes UTMs; this field will update from returning Manual to returning (not set) for an upcoming feature launch.,
shippingTier,Shipping tier,"The shipping tier selected for delivery of the purchased item. For example, Ground, Air, or Next-day. Populated by the shipping_tier event parameter.",
signedInWithUserId,Signed in with user ID,"The string yes if the user signed in with the User-ID. To learn more about User-ID, see Measure actions across platforms with User-ID (https://support.google.com/analytics/answer/9212382).",
source,Source,The source attributed to the key event.,
sourceMedium,Source / medium,The combined values of the dimensions source and medium.,
sourcePlatform,Source platform,The source platform of the key event's campaign. You can rely on this field returning Manual for traffic that utilizes UTMs; this field will update from returning Manual to returning (not set) for an upcoming feature launch.,
streamId,Stream ID,The numeric data stream identifier for your app or website.,
streamName,Stream name,The data stream name for your app or website.,
testDataFilterId,Test data filter ID,"The numeric identifier of a data filter in testing state. You can use testing data filters to include or exclude event data from your reports based on event-parameter values. To learn more, see Test data filters (https://support.google.com/analytics/answer/10141953).",
testDataFilterName,Test data filter name,"The name of data filters in testing state. You can use testing data filters to include or exclude event data from your reports based on event-parameter values. To learn more, see Data filters (https://support.google.com/analytics/answer/101",
transactionId,Transaction ID,,The ID of the ecommerce transaction.
unifiedPagePathScreen,Page path and screen class,,The page path (web) or screen class (app) on which the event was logged.
unifiedPageScreen,Page path + query string and screen class,,The page path and query string (web) or screen class (app) on which the event was logged.
unifiedScreenClass,Page title and screen class,,The page title (web) or screen class (app) on which the event was logged.
unifiedScreenName,Page title and screen name,,The page title (web) or screen name (app) on which the event was logged.
userAgeBracket,Age,,User age brackets.
userGender,Gender,,User gender.
videoProvider,Video provider,,"The source of the video (for example, youtube). Automatically populated for embedded videos if Enhanced Measurement is enabled. Populated by the event parameter video_provider."
videoTitle,Video title,,The title of the video. Automatically populated for embedded videos if Enhanced Measurement is enabled. Populated by the event parameter video_title.
videoUrl,Video URL,,The URL of the video. Automatically populated for embedded videos if Enhanced Measurement is enabled. Populated by the event parameter video_url.
virtualCurrencyName,Virtual currency name,,The name of a virtual currency with which the user is interacting. Such as spending or purchasing goods. Populated by the virtual_currency_name event parameter.
visible,Visible,,Returns true if the content is visible. Automatically populated for embedded videos if Enhanced Measurement is enabled. Populated by the event parameter visible.
week,Week,,"The week of the event, a two-digit number from 01 to 53. The week starts on Sunday. January 1st is always in the first week. The first and last week of the year have fewer than 7 days in some years. Weeks other than the first and the last week always have 7 days. For years where January 1st falls on a Sunday, the first week of that year and the last week of the previous year have 7 days."
year,Year,,"The four-digit year of the event. For example, 2022."
yearMonth,Year month,,The combined values of year and month. Examples include 202212 or 202301.
yearWeek,Year week,,The combined values of year and week. Examples include 202253 or 202301.
